name,class,compactnessObj,rectangularityObj,convexityObj
m1337_normalized.obj,AircraftBuoyant,0.77464,0.3595,0.76173
m1338_normalized.obj,AircraftBuoyant,0.54925,0.33739,0.72424
m1339_normalized.obj,AircraftBuoyant,0.28854,0.02205,0.05061
m1340_normalized.obj,AircraftBuoyant,1.87024,0.53094,1.36296
m1341_normalized.obj,AircraftBuoyant,0.75868,0.28626,0.68875
m1342_normalized.obj,AircraftBuoyant,0.77647,0.38628,0.90854
m1343_normalized.obj,AircraftBuoyant,0.59179,0.45913,1.03757
m1344_normalized.obj,AircraftBuoyant,0.93233,0.35572,0.91536
m1345_normalized.obj,AircraftBuoyant,0.00214,0.00203,0.00567
m1346_normalized.obj,AircraftBuoyant,0.61637,0.3111,0.7257
m1347_normalized.obj,AircraftBuoyant,0.56657,0.4426,0.8259
m1348_normalized.obj,AircraftBuoyant,0.61539,0.31223,0.72422
m1349_normalized.obj,AircraftBuoyant,0.53132,0.28208,0.60805
m1350_normalized.obj,AircraftBuoyant,0.53619,0.38196,0.69475
m1351_normalized.obj,AircraftBuoyant,0.44214,0.54664,0.89127
m1352_normalized.obj,AircraftBuoyant,0.5184,0.34626,0.7621
D00045_normalized.obj,Apartment,0.20298,0.19505,0.34338
D00086_normalized.obj,Apartment,0.3353,0.36938,0.70307
D00138_normalized.obj,Apartment,0.03595,0.15061,0.16554
D00156_normalized.obj,Apartment,0.00398,0.01655,0.02575
D00310_normalized.obj,Apartment,0.01853,0.0632,0.08668
D00348_normalized.obj,Apartment,0.46597,0.5419,0.76952
D00366_normalized.obj,Apartment,0.39477,0.32545,0.86425
D00478_normalized.obj,Apartment,0.28522,0.36941,0.57209
D00496_normalized.obj,Apartment,0.52371,0.64414,0.86277
D00626_normalized.obj,Apartment,0.17706,0.37627,0.67957
D00639_normalized.obj,Apartment,0.10117,0.40559,0.60491
D00651_normalized.obj,Apartment,0.00375,0.01332,0.02093
D00681_normalized.obj,Apartment,0.10776,0.42781,0.80419
D00780_normalized.obj,Apartment,0.81973,0.75845,0.8606
D00792_normalized.obj,Apartment,0.59978,0.49449,0.91177
D00859_normalized.obj,Apartment,0.24961,0.55933,0.91018
D00860_normalized.obj,Apartment,0.30805,0.38536,0.60307
D00869_normalized.obj,Apartment,0.52552,0.79008,0.95673
D00921_normalized.obj,Apartment,0.25196,0.30565,0.54055
D00953_normalized.obj,Apartment,0.07168,0.18025,0.44575
m463_normalized.obj,Apartment,0.04725,0.28235,0.6626
m464_normalized.obj,Apartment,0.00303,0.01844,0.04309
m465_normalized.obj,Apartment,0.07579,0.95242,1.53142
m53_normalized.obj,AquaticAnimal,0.21889,0.14542,0.33453
m54_normalized.obj,AquaticAnimal,0.29144,0.16843,0.53134
m55_normalized.obj,AquaticAnimal,0.26554,0.14598,0.37869
m56_normalized.obj,AquaticAnimal,0.2701,0.15894,0.53432
m57_normalized.obj,AquaticAnimal,0.21479,0.14794,0.45149
m58_normalized.obj,AquaticAnimal,0.6491,0.20431,0.67968
m59_normalized.obj,AquaticAnimal,2.66171,0.01669,0.05319
m60_normalized.obj,AquaticAnimal,0.27489,0.09438,0.31184
m61_normalized.obj,AquaticAnimal,0.65755,0.24659,0.64807
m62_normalized.obj,AquaticAnimal,0.27081,0.1559,0.49533
m63_normalized.obj,AquaticAnimal,0.41556,0.11877,0.44619
m64_normalized.obj,AquaticAnimal,0.3322,0.13424,0.49613
m65_normalized.obj,AquaticAnimal,0.16503,0.04305,0.17472
m66_normalized.obj,AquaticAnimal,0.22822,0.20124,0.57191
m67_normalized.obj,AquaticAnimal,0.39241,0.15226,0.60438
m68_normalized.obj,AquaticAnimal,0.24968,0.13453,0.39312
m69_normalized.obj,AquaticAnimal,0.3467,0.13824,0.47741
m70_normalized.obj,AquaticAnimal,0.32484,0.08844,0.29674
m71_normalized.obj,AquaticAnimal,0.46713,0.14401,0.43297
m72_normalized.obj,AquaticAnimal,0.35783,0.11918,0.43484
m73_normalized.obj,AquaticAnimal,0.46294,0.12674,0.35843
m74_normalized.obj,AquaticAnimal,0.40568,0.0767,0.30106
m75_normalized.obj,AquaticAnimal,0.29905,0.06725,0.23089
m76_normalized.obj,AquaticAnimal,0.41354,0.08942,0.3136
m77_normalized.obj,AquaticAnimal,0.24844,0.06373,0.23116
m78_normalized.obj,AquaticAnimal,0.39107,0.06207,0.25984
m79_normalized.obj,AquaticAnimal,0.3688,0.07929,0.33122
m80_normalized.obj,AquaticAnimal,0.22617,0.04965,0.19404
m81_normalized.obj,AquaticAnimal,0.36658,0.0694,0.27831
D00031_normalized.obj,Bed,0.13464,0.29913,0.51231
D00110_normalized.obj,Bed,0.10333,0.10179,0.12377
D00121_normalized.obj,Bed,0.11846,0.14047,0.17277
D00184_normalized.obj,Bed,0.15471,0.7054,0.8888
D00210_normalized.obj,Bed,0.07726,0.19363,0.25675
D00213_normalized.obj,Bed,0.13795,0.3146,0.37683
D00217_normalized.obj,Bed,0.12446,0.23756,0.26587
D00307_normalized.obj,Bed,0.09968,0.22438,0.51188
D00322_normalized.obj,Bed,0.14964,0.19119,0.21605
D00417_normalized.obj,Bed,0.11654,0.30907,0.37436
D00538_normalized.obj,Bed,0.225,0.21043,0.21765
D00545_normalized.obj,Bed,0.11304,0.16158,0.1973
D00552_normalized.obj,Bed,0.66336,0.28755,0.6154
D00565_normalized.obj,Bed,0.10773,0.27061,0.36631
D00650_normalized.obj,Bed,0.13091,0.25633,0.28935
D00735_normalized.obj,Bed,0.12828,0.27675,0.3834
D00836_normalized.obj,Bed,0.19377,0.48194,0.62358
D00839_normalized.obj,Bed,0.12838,0.41722,0.54111
D00969_normalized.obj,Bed,0.25928,0.31117,0.45491
D00988_normalized.obj,Bed,0.13816,0.30987,0.38934
m945_normalized.obj,Bed,0.16649,0.19889,0.31839
m946_normalized.obj,Bed,0.13775,0.16406,0.18543
m947_normalized.obj,Bed,0.18437,0.12916,0.17057
m948_normalized.obj,Bed,0.22035,0.18596,0.25681
m949_normalized.obj,Bed,0.15996,0.25454,0.27443
m950_normalized.obj,Bed,0.06003,0.03166,0.06753
m951_normalized.obj,Bed,0.0191,0.01742,0.02899
D00016_normalized.obj,Bicycle,0.03796,0.01002,0.0223
D00033_normalized.obj,Bicycle,0.08411,0.0089,0.02848
D00040_normalized.obj,Bicycle,0.12038,0.01861,0.0623
D00077_normalized.obj,Bicycle,0.04158,0.00897,0.02732
D00078_normalized.obj,Bicycle,0.27673,0.00725,0.02217
D00462_normalized.obj,Bicycle,0.01186,0.00456,0.01331
D00514_normalized.obj,Bicycle,0.03324,0.00662,0.016
D00536_normalized.obj,Bicycle,0.05412,0.00518,0.01594
D00555_normalized.obj,Bicycle,0.1327,0.01622,0.0509
D00558_normalized.obj,Bicycle,0.04544,0.02161,0.05396
D00567_normalized.obj,Bicycle,0.06017,0.01127,0.03205
D00621_normalized.obj,Bicycle,0.03896,0.01028,0.02288
D00708_normalized.obj,Bicycle,0.05436,0.01558,0.05059
D00750_normalized.obj,Bicycle,0.04316,0.0212,0.05879
D00838_normalized.obj,Bicycle,0.056,0.01685,0.05547
D00847_normalized.obj,Bicycle,0.07643,0.01004,0.02958
D00904_normalized.obj,Bicycle,0.05918,0.01447,0.04611
D00930_normalized.obj,Bicycle,0.046,0.01355,0.03475
D00931_normalized.obj,Bicycle,0.03366,0.01094,0.02972
D00974_normalized.obj,Bicycle,0.06063,0.02767,0.09506
m1472_normalized.obj,Bicycle,0.06591,0.00689,0.02345
m1473_normalized.obj,Bicycle,0.08976,0.0096,0.03068
