name,class,vertices,faces,bbox,type
m1337.obj,AircraftBuoyant,4096,8100,0.025 0.889234 0.025 0.975 0.025 0.889234,triangles
m1338.obj,AircraftBuoyant,4139,8099,0.025 0.933058 0.025004176 0.975 0.025 0.937901,triangles
m1339.obj,AircraftBuoyant,4148,5144,0.025 0.607072 0.025 0.975 0.025 0.626812,triangles
m1340.obj,AircraftBuoyant,4101,8100,0.025 0.367686 0.025 0.975 0.025 0.367689,triangles
m1341.obj,AircraftBuoyant,4080,8100,0.025 0.379575 0.025 0.975 0.025 0.379575,triangles
m1342.obj,AircraftBuoyant,4169,8099,0.025 0.611587 0.025 0.975 0.025 0.60936,triangles
m1343.obj,AircraftBuoyant,4056,8100,0.025 0.710921 0.025 0.975 0.025 0.710921,triangles
m1344.obj,AircraftBuoyant,4268,8100,0.025 0.674099 0.025 0.975 0.025 0.6741,triangles
m1345.obj,AircraftBuoyant,4255,8100,0.025 0.601277 0.025 0.975 0.025 0.601277,triangles
m1346.obj,AircraftBuoyant,4140,8091,0.025 0.322079 0.025 0.354725 0.025 0.975,triangles
m1347.obj,AircraftBuoyant,4125,8100,0.025 0.312086 0.025 0.419881 0.025 0.975,triangles
m1348.obj,AircraftBuoyant,4158,8099,0.025 0.321693 0.025 0.354958 0.025 0.975,triangles
m1349.obj,AircraftBuoyant,4153,8100,0.025 0.975 0.025 0.385203 0.025 0.273648,triangles
m1350.obj,AircraftBuoyant,4166,8100,0.025 0.975 0.025 0.291317 0.025 0.305022,triangles
m1351.obj,AircraftBuoyant,4092,8100,0.0250605 0.2082395 0.025028056 0.2191825 0.025 0.975,triangles
m1352.obj,AircraftBuoyant,4162,8099,0.025 0.975 0.025 0.376642 0.025 0.332621,triangles
D00045.obj,Apartment,3686,6551,-0.613186 0.82902664 -0.700915 0.77041507 -0.5320173 0.354253,triangles
D00086.obj,Apartment,4151,8099,-0.920883 0.863162 -0.34377217 1.32482 -0.415469 0.293879,triangles
D00138.obj,Apartment,4211,8097,-0.7826821 0.776339 -0.514535 0.633157 -0.317783 0.198885,triangles
D00156.obj,Apartment,4047,7421,-0.81948 0.881168 -0.742071 0.842832 -0.667138 0.56673133,triangles
D00310.obj,Apartment,4299,7397,-0.74465615 1.03298 -0.38931593 0.494357 -0.368775 0.339434,triangles
D00348.obj,Apartment,3613,7150,-0.94171 0.725458 -0.40949 0.566411 -0.813025 0.2050983,triangles
D00366.obj,Apartment,4096,8100,-0.895467 0.745644 -0.856715 0.59104 -0.663917 0.529402,triangles
D00478.obj,Apartment,3809,6699,-0.780623 0.910492 -0.760414 0.404719 -0.478043 0.451362,triangles
D00496.obj,Apartment,3778,7157,-0.643419 1.15353 -0.704659 0.878216 -0.341188 0.259608,triangles
D00626.obj,Apartment,3779,6922,-0.885934 0.906987 -0.597769 0.330169 -0.512373 0.38204944,triangles
D00639.obj,Apartment,4282,7980,-0.542818 1.14108 -0.544259 0.500059 -0.687879 0.449116,triangles
D00651.obj,Apartment,3851,7159,-0.948858 0.916559 -0.950931 0.904251 -0.55663264 0.661818,triangles
D00681.obj,Apartment,4267,6682,-0.681671 1.09453 -0.788838 0.587597 -0.471744 0.656092,triangles
D00780.obj,Apartment,3611,6649,-0.97077954 0.789256 -0.60964644 0.44774228 -0.1781493 0.3338201,triangles
D00792.obj,Apartment,3896,6972,-0.795163 1.10354 -0.965409 0.963376 -0.669296 0.859246,triangles
D00859.obj,Apartment,3728,7205,-0.824176 1.07379 -0.692473 0.611025 -0.33128 0.211846,triangles
D00860.obj,Apartment,3798,6662,-0.764923 0.927037 -0.760034 0.399913 -0.474753 0.451175,triangles
D00869.obj,Apartment,3936,6088,-0.9844476 0.6883738 -0.521765 0.644962 -0.380632 0.551785,triangles
D00921.obj,Apartment,4230,5671,-0.850705 0.822601 -0.487423 0.545748 -0.558467 0.554978,triangles
D00953.obj,Apartment,4158,7140,-0.949201 0.665321 -0.826799 0.896079 -0.444887 0.51871,triangles
m463.obj,Apartment,4230,8066,0.025 0.785029 0.025 0.975 0.025 0.574765,triangles
m464.obj,Apartment,3865,7566,0.025 0.347449 0.025 0.9749615 0.024655035 0.29665005,triangles
m465.obj,Apartment,4204,8099,0.025 0.21702 0.025 0.975 0.025 0.251523,triangles
m53.obj,AquaticAnimal,4258,8100,0.025 0.163362 0.028089844 0.34870225 0.025 0.97432834,triangles
m54.obj,AquaticAnimal,4312,8100,0.024953296 0.2548635 0.02562775 0.37069088 0.025854126 0.975,triangles
m55.obj,AquaticAnimal,4248,8099,0.024957813 0.18136927 0.026184801 0.38011 0.0250965 0.9749414,triangles
m56.obj,AquaticAnimal,4353,8100,0.025 0.168956 0.025 0.367284 0.025 0.975,triangles
m57.obj,AquaticAnimal,4276,8099,0.025 0.143963 0.027217766 0.38973022 0.024993341 0.974013,triangles
m58.obj,AquaticAnimal,4052,8100,0.025 0.537049 0.025 0.500211 0.025 0.975,triangles
m59.obj,AquaticAnimal,1300,1483,0.025 0.225 0.025 0.225 0.025 0.975,triangles
m60.obj,AquaticAnimal,4052,8100,0.025 0.348674 0.025 0.407675 0.025 0.975,triangles
m61.obj,AquaticAnimal,4207,8099,0.025 0.18743 0.025 0.443396 0.025 0.975,triangles
m62.obj,AquaticAnimal,4052,8100,0.025 0.131276 0.025 0.749178 0.025 0.975,triangles
m63.obj,AquaticAnimal,4281,8100,0.025 0.975 0.025 0.724541 0.025 0.777238,triangles
m64.obj,AquaticAnimal,4141,8100,0.025 0.975 0.025 0.545087 0.025 0.1789,triangles
m65.obj,AquaticAnimal,4093,8100,0.025 0.399816 0.025 0.604595 0.025 0.975,triangles
m66.obj,AquaticAnimal,4117,8196,0.025 0.445705 0.025 0.547553 0.025 0.975,triangles
m67.obj,AquaticAnimal,4052,8100,0.0250885 0.97427 0.025403 0.249268 0.025081625 0.38898328,triangles
m68.obj,AquaticAnimal,4054,8100,0.025 0.975 0.025 0.278519 0.025 0.18743,triangles
m69.obj,AquaticAnimal,4100,8099,0.025 0.357325 0.025 0.264776 0.025 0.975,triangles
m70.obj,AquaticAnimal,3812,7468,0.025 0.454415 0.025 0.266076 0.025 0.975,triangles
m71.obj,AquaticAnimal,4147,8290,0.025 0.32599 0.025 0.371535 0.025 0.975,triangles
m72.obj,AquaticAnimal,3924,7760,0.025 0.456203 0.025 0.262828 0.025 0.975,triangles
m73.obj,AquaticAnimal,3795,7564,0.025 0.975 0.025 0.610865 0.025 0.376181,triangles
m74.obj,AquaticAnimal,4344,8524,0.025 0.354455 0.025 0.321596 0.025 0.975,triangles
m75.obj,AquaticAnimal,3683,7216,0.025 0.538384 0.025 0.299311 0.025 0.975,triangles
m76.obj,AquaticAnimal,4119,8232,0.025 0.39593 0.025 0.35314 0.025 0.975,triangles
m77.obj,AquaticAnimal,4119,8100,0.025058 0.975 0.025 0.407994 0.025 0.611203,triangles
m78.obj,AquaticAnimal,4074,7760,0.025 0.975 0.025 0.51665 0.025 0.428181,triangles
m79.obj,AquaticAnimal,4320,8100,0.025 0.975 0.025 0.256171 0.025 0.300958,triangles
m80.obj,AquaticAnimal,4164,8100,0.025 0.975 0.025 0.308883 0.025 0.416001,triangles
m81.obj,AquaticAnimal,4115,8075,0.025 0.4145 0.025 0.291 0.025 0.975,triangles
D00031.obj,Bed,4227,8100,-0.669666 0.930426 -0.708463 0.726534 -0.267503 0.312193,triangles
D00110.obj,Bed,4168,8100,-0.8889 0.75223 -0.718484 0.524562 -0.220014 0.339705,triangles
D00121.obj,Bed,3668,6490,-0.91228276 0.7857897 -0.59966916 0.858504 -0.48191786 0.46315584,triangles
D00184.obj,Bed,4161,8100,-0.937684 0.750002 -0.891329 0.664602 -0.466361 0.341943,triangles
D00210.obj,Bed,3926,7661,-0.6683608 0.8173258 -0.5356909 0.866731 -0.4127349 0.5464502,triangles
D00213.obj,Bed,4072,8099,-0.955079 0.747501 -0.365319 0.50444 -0.375599 0.275625,triangles
D00217.obj,Bed,4152,8100,-0.842601 0.881592 -0.54509 0.411619 -0.3038 0.422549,triangles
D00307.obj,Bed,4192,8100,-0.820216 0.991699 -0.833938 0.872106 -0.213808 0.392634,triangles
D00322.obj,Bed,4346,8100,-0.94314015 0.86400104 -0.41553563 0.59924525 -0.520955 0.5206021,triangles
D00417.obj,Bed,4032,7921,-0.8007908 0.7960461 -0.5094147 0.668083 -0.37507114 0.302302,triangles
D00538.obj,Bed,4249,8099,-0.83786184 0.83844 -0.47920388 0.702218 -0.325735 0.41138646,triangles
D00545.obj,Bed,4110,8099,-0.832734 0.876784 -0.47967 0.747412 -0.39825 0.346334,triangles
D00552.obj,Bed,4235,8100,-1.05698 0.489625 -0.719045 0.71651 -0.464456 0.232915,triangles
D00565.obj,Bed,4147,8099,-1.08588 0.602982 -0.605613 0.718594 -0.375019 0.180431,triangles
D00650.obj,Bed,3752,7443,-0.863733 0.833154 -0.550605 0.377532 -0.421559 0.282019,triangles
D00735.obj,Bed,4261,7879,-0.644923 1.11344 -0.684425 0.73777 -0.312594 0.476146,triangles
D00836.obj,Bed,4108,8099,-0.795864 0.919097 -0.365307 0.512459 -0.304602 0.597853,triangles
D00839.obj,Bed,4085,8099,-0.8006537 0.864395 -0.8772981 0.56977206 -0.35191703 0.29103482,triangles
D00969.obj,Bed,3732,6930,-0.90787697 0.798208 -0.928304 0.570205 -0.46498844 0.37873906,triangles
D00988.obj,Bed,4211,8100,-0.867888 0.80853003 -0.726326 0.426407 -0.517681 0.208921,triangles
m945.obj,Bed,4238,8099,0.025 0.740004 0.025 0.813378 0.025 0.975,triangles
m946.obj,Bed,3911,7416,0.025 0.494149 0.025 0.494147 0.025 0.975,triangles
m947.obj,Bed,4253,8100,0.025 0.721994 0.025 0.445454 0.025 0.975,triangles
m948.obj,Bed,4128,8100,0.025 0.975 0.025 0.893382 0.025 0.961408,triangles
m949.obj,Bed,4062,8100,0.025 0.956207 0.025 0.975 0.025 0.489954,triangles
m950.obj,Bed,4158,8100,0.025 0.769384 0.025 0.889227 0.025 0.975,triangles
m951.obj,Bed,3754,6992,0.025 0.797947 0.025 0.536752 0.025 0.975,triangles
D00016.obj,Bicycle,4338,8100,-0.914299 0.959955 -0.44062 0.818183 -0.209935 0.177847,triangles
D00033.obj,Bicycle,4003,6264,-1.065175 0.878724 -0.389308 0.7045225 -0.2815325 0.310015,triangles
D00040.obj,Bicycle,4027,6500,-0.94097 0.963824 -0.458162 0.744808 -0.317615 0.31622592,triangles
D00077.obj,Bicycle,4209,8099,-0.84693533 1.0448126 -0.65842694 0.48702478 -0.36372846 0.2888789,triangles
