name,class,vertices,faces,bbox
m1337.obj,AircraftBuoyant,3939,8095,0.025 0.889234 0.025 0.975 0.025 0.889234
m1338.obj,AircraftBuoyant,3794,7588,0.025 0.933058 0.025004176 0.975 0.025 0.937901
m1339.obj,AircraftBuoyant,3210,4576,0.025 0.607072 0.0270096 0.695174 0.025 0.626812
m1340.obj,AircraftBuoyant,4242,9447,0.025 0.367686 0.025 0.975 0.025 0.367689
m1341.obj,AircraftBuoyant,4087,8622,0.025 0.379575 0.025 0.975 0.025 0.379575
m1342.obj,AircraftBuoyant,3254,7999,0.0249786 0.611587 0.0249783 0.9750412 0.0249972 0.60936
m1343.obj,AircraftBuoyant,3788,8092,0.025 0.710921 0.025 0.975 0.025 0.710921
m1344.obj,AircraftBuoyant,3726,8060,0.025 0.674099 0.0250012 0.975 0.025 0.6741
m1345.obj,AircraftBuoyant,2075,8027,0.025 0.601277 0.0248555 0.975 0.025 0.601277
m1346.obj,AircraftBuoyant,3091,7506,0.025 0.322079 0.0308808 0.354725 0.0263875 0.975
m1347.obj,AircraftBuoyant,3618,8095,0.025 0.312086 0.0250034 0.419881 0.025 0.975
m1348.obj,AircraftBuoyant,3117,7519,0.025 0.3213912 0.030886 0.354958 0.0264438 0.975
m1349.obj,AircraftBuoyant,3733,8768,0.025 0.975 0.0326035 0.385203 0.025 0.273648
m1350.obj,AircraftBuoyant,4281,9721,0.025 0.975 0.025 0.291317 0.025 0.305022
m1351.obj,AircraftBuoyant,887,1731,0.0250605 0.2082395 0.025028056 0.2191825 0.025 0.975
m1352.obj,AircraftBuoyant,3108,7796,0.0278747 0.975 0.025 0.376642 0.0249875 0.3326293
D00045.obj,Apartment,2532,6678,-0.613186 0.82902664 -0.700915 0.77041507 -0.5320173 0.354253
D00086.obj,Apartment,1229,3050,-0.920883 0.863162 -0.34377217 1.32482 -0.415469 0.293879
D00138.obj,Apartment,684,1561,-0.7826821 0.776339 -0.514535 0.633157 -0.317783 0.198885
D00156.obj,Apartment,1679,4346,-0.81948 0.881168 -0.742071 0.842832 -0.667138 0.56673133
D00310.obj,Apartment,1864,4134,-0.74465615 1.03298 -0.38931593 0.494357 -0.368775 0.339434
D00348.obj,Apartment,3684,9103,-0.94171 0.725458 -0.40949 0.566411 -0.813025 0.205105
D00366.obj,Apartment,4275,9923,-0.895467 0.745644 -0.856715 0.59104 -0.663917 0.529402
D00478.obj,Apartment,1691,2881,-0.780623 0.910492 -0.760414 0.404719 -0.478043 0.451362
D00496.obj,Apartment,1406,2333,-0.643419 1.15353 -0.704659 0.878216 -0.341188 0.259608
D00626.obj,Apartment,2799,3580,-0.885934 0.906987 -0.597769 0.330169 -0.512373 0.38204944
D00639.obj,Apartment,2959,6155,-0.542818 1.14108 -0.544259 0.500059 -0.687879 0.449116
D00651.obj,Apartment,1536,4106,-0.948858 0.916559 -0.950931 0.904251 -0.55663264 0.661818
D00681.obj,Apartment,2633,3598,-0.681671 1.09453 -0.788838 0.587597 -0.471744 0.656092
D00780.obj,Apartment,831,1423,-0.977731 0.789256 -0.618236 0.4496336 -0.18900283 0.3338201
D00792.obj,Apartment,2729,8016,-0.795163 1.10354 -0.965409 0.963376 -0.669296 0.859246
D00859.obj,Apartment,3355,8087,-0.824176 1.07379 -0.692473 0.611025 -0.33128 0.211846
D00860.obj,Apartment,1635,2786,-0.764923 0.927037 -0.760034 0.399913 -0.474753 0.451175
D00869.obj,Apartment,1216,2337,-0.9844476 0.6883738 -0.521765 0.644962 -0.380632 0.551785
D00921.obj,Apartment,1611,2020,-0.850705 0.822601 -0.487423 0.545748 -0.558467 0.554978
D00953.obj,Apartment,4239,5578,-0.949201 0.665321 -0.826799 0.896079 -0.444887 0.51871
m463.obj,Apartment,3031,8095,0.025 0.785029 0.025 0.975 0.025 0.574765
m464.obj,Apartment,2919,4947,0.025 0.347449 0.025 0.9749615 0.024655035 0.29665005
m465.obj,Apartment,4344,10541,0.025 0.21702 0.025 0.975 0.025 0.251523
m53.obj,AquaticAnimal,2375,5245,0.025280172 0.163362 0.028089844 0.34867826 0.025 0.97432834
m54.obj,AquaticAnimal,2714,5870,0.024953296 0.2548635 0.02562775 0.37069088 0.025854126 0.975
m55.obj,AquaticAnimal,2513,5553,0.024957813 0.18133603 0.026184801 0.38011 0.0250965 0.9749414
m56.obj,AquaticAnimal,1668,3875,0.025 0.168956 0.025 0.367284 0.025 0.975
m57.obj,AquaticAnimal,2330,5414,0.025 0.14380692 0.027217766 0.38973022 0.02499667 0.974013
m58.obj,AquaticAnimal,3478,7713,0.0285489 0.537049 0.025 0.500211 0.025 0.975
m59.obj,AquaticAnimal,1103,1537,0.025 0.225 0.025 0.225 0.125 0.975
m60.obj,AquaticAnimal,3955,8383,0.025 0.348674 0.025 0.407675 0.025 0.975
m61.obj,AquaticAnimal,4287,10120,0.025 0.18743 0.025 0.443396 0.025 0.975
m62.obj,AquaticAnimal,4210,10164,0.0250491 0.1312242 0.025 0.749178 0.025 0.975
m63.obj,AquaticAnimal,3175,7299,0.025 0.9696797 0.025 0.724541 0.025 0.777238
m64.obj,AquaticAnimal,3533,7980,0.025 0.975 0.025 0.545087 0.025 0.1789
m65.obj,AquaticAnimal,3722,8841,0.025 0.399816 0.025 0.5852838 0.025 0.9693379
m66.obj,AquaticAnimal,4339,8012,0.025 0.445705 0.025 0.547553 0.025 0.975
m67.obj,AquaticAnimal,2278,4679,0.0250885 0.97427 0.025403 0.249268 0.025081625 0.38898328
m68.obj,AquaticAnimal,3937,9196,0.029875 0.975 0.025 0.278519 0.025 0.18743
m69.obj,AquaticAnimal,2967,8032,0.025 0.357325 0.0250268 0.264776 0.025 0.975
m70.obj,AquaticAnimal,4046,10229,0.025 0.454415 0.025 0.266076 0.025 0.975
m71.obj,AquaticAnimal,3782,8597,0.025 0.3160894 0.0250176 0.371535 0.025 0.975
m72.obj,AquaticAnimal,4311,11263,0.025 0.456203 0.025 0.262828 0.025 0.975
m73.obj,AquaticAnimal,4117,9230,0.025 0.975 0.025 0.610865 0.025 0.376181
m74.obj,AquaticAnimal,3658,8967,0.025 0.321844 0.03076 0.321596 0.0296378 0.9695071
m75.obj,AquaticAnimal,4018,9914,0.025 0.538384 0.025 0.299311 0.025 0.975
m76.obj,AquaticAnimal,4123,9262,0.025 0.3904986 0.0250291 0.3530524 0.0308438 0.975
m77.obj,AquaticAnimal,1606,4070,0.025058 0.975 0.025 0.407994 0.025 0.611145
