name,class,vertices,faces,bbox
m1337.obj,AircraftBuoyant,3945,8099,0.025 0.889234 0.025 0.975 0.025 0.889234
m1338.obj,AircraftBuoyant,3794,7588,0.025 0.933058 0.025004176 0.975 0.025 0.937901
m1339.obj,AircraftBuoyant,3204,4598,0.025 0.607072 0.0270096 0.695174 0.025 0.626812
m1340.obj,AircraftBuoyant,4242,9447,0.025 0.367686 0.025 0.975 0.025 0.367689
m1341.obj,AircraftBuoyant,4087,8624,0.025 0.379575 0.025 0.975 0.025 0.379575
m1342.obj,AircraftBuoyant,3290,8100,0.025 0.611587 0.0249783 0.9750412 0.025 0.60936
m1343.obj,AircraftBuoyant,3794,8098,0.025 0.710921 0.025 0.975 0.025 0.710921
m1344.obj,AircraftBuoyant,3722,8100,0.025 0.674099 0.0250012 0.975 0.025 0.6741
m1345.obj,AircraftBuoyant,2093,8098,0.025 0.601277 0.0248555 0.975 0.025 0.601277
m1346.obj,AircraftBuoyant,3307,8099,0.025 0.322079 0.0308808 0.354725 0.025 0.975
m1347.obj,AircraftBuoyant,3620,8099,0.025 0.312086 0.0250034 0.419881 0.025 0.975
m1348.obj,AircraftBuoyant,3338,8100,0.025 0.3213912 0.030886 0.354958 0.025 0.975
m1349.obj,AircraftBuoyant,3727,8756,0.025 0.975 0.0326035 0.385203 0.025 0.273648
m1350.obj,AircraftBuoyant,4283,9722,0.025 0.975 0.025 0.291317 0.025 0.305022
m1351.obj,AircraftBuoyant,887,1731,0.0250605 0.2082395 0.025028056 0.2191825 0.025 0.975
m1352.obj,AircraftBuoyant,3163,8099,0.0278747 0.975 0.025 0.376642 0.0249875 0.3326293
D00045.obj,Apartment,2532,6678,-0.613186 0.82902664 -0.700915 0.77041507 -0.5320173 0.354253
D00086.obj,Apartment,1229,3050,-0.920883 0.863162 -0.34377217 1.32482 -0.415469 0.293879
D00138.obj,Apartment,684,1561,-0.7826821 0.776339 -0.514535 0.633157 -0.317783 0.198885
D00156.obj,Apartment,1679,4346,-0.81948 0.881168 -0.742071 0.842832 -0.667138 0.56673133
