name,class,surfaceAreaObj,compactnessObj,rectangularityObj,diameterObj,convexityObj,eccentricityObj,A3,D1,D2,D3,D4
m1337_normalized.obj,AircraftBuoyant,7.18159,0.86002,0.39913,1.72974,0.84569,1.37951,"0.026,0.027,0.041,0.048,0.066,0.053,0.063,0.074,0.072,0.08,0.078,0.065,0.056,0.041,0.045,0.046,0.032,0.017,0.017,0.012,0.01,0.012,0.007,0.005,0.002,0.002,0.001,0.001,0.0,0.001","0.049,0.061,0.084,0.073,0.056,0.041,0.052,0.066,0.064,0.107,0.114,0.098,0.065,0.013,0.004,0.003,0.01,0.002,0.002,0.01,0.003,0.006,0.002,0.002,0.002,0.004,0.003,0.002,0.0,0.002","0.008,0.008,0.006,0.008,0.014,0.01,0.018,0.02,0.026,0.021,0.027,0.025,0.036,0.036,0.04,0.039,0.05,0.045,0.044,0.054,0.052,0.054,0.052,0.065,0.063,0.058,0.048,0.048,0.015,0.01","0.002,0.006,0.005,0.009,0.012,0.017,0.015,0.022,0.029,0.029,0.035,0.042,0.047,0.047,0.05,0.055,0.054,0.067,0.062,0.068,0.057,0.059,0.072,0.061,0.033,0.024,0.009,0.004,0.005,0.003","0.001,0.002,0.008,0.005,0.017,0.016,0.027,0.033,0.048,0.042,0.054,0.043,0.068,0.046,0.06,0.057,0.063,0.063,0.073,0.057,0.053,0.046,0.042,0.026,0.022,0.013,0.01,0.003,0.0,0.002"
m1338_normalized.obj,AircraftBuoyant,7.86262,0.61592,0.37834,1.61238,0.81215,1.03387,"0.012,0.023,0.041,0.039,0.043,0.046,0.073,0.071,0.07,0.07,0.07,0.057,0.072,0.054,0.048,0.052,0.032,0.036,0.027,0.017,0.02,0.01,0.006,0.005,0.003,0.001,0.0,0.0,0.001,0.001","0.019,0.026,0.009,0.03,0.032,0.072,0.081,0.133,0.148,0.148,0.114,0.123,0.001,0.003,0.009,0.024,0.0,0.0,0.006,0.003,0.002,0.002,0.002,0.002,0.0,0.003,0.002,0.0,0.0,0.006","0.006,0.003,0.01,0.015,0.016,0.025,0.02,0.017,0.029,0.034,0.029,0.035,0.049,0.047,0.039,0.048,0.036,0.055,0.058,0.048,0.048,0.07,0.066,0.056,0.056,0.054,0.017,0.009,0.004,0.001","0.003,0.005,0.008,0.012,0.008,0.012,0.014,0.018,0.027,0.026,0.023,0.032,0.046,0.039,0.042,0.07,0.052,0.05,0.065,0.063,0.062,0.065,0.056,0.057,0.049,0.046,0.024,0.013,0.009,0.004","0.001,0.002,0.009,0.011,0.008,0.025,0.03,0.029,0.041,0.028,0.046,0.044,0.05,0.042,0.058,0.058,0.062,0.06,0.062,0.049,0.057,0.052,0.049,0.036,0.026,0.018,0.02,0.014,0.006,0.007"
m1339_normalized.obj,AircraftBuoyant,0.92674,0.11816,0.00903,1.41455,0.02073,5.6241,"0.032,0.055,0.062,0.059,0.062,0.05,0.063,0.051,0.041,0.05,0.043,0.042,0.04,0.036,0.047,0.039,0.032,0.022,0.024,0.022,0.021,0.027,0.013,0.016,0.014,0.009,0.01,0.006,0.008,0.004","0.127,0.065,0.071,0.041,0.168,0.057,0.055,0.058,0.056,0.062,0.071,0.042,0.01,0.0,0.002,0.005,0.0,0.007,0.0,0.012,0.018,0.032,0.0,0.005,0.0,0.004,0.007,0.002,0.008,0.015","0.019,0.047,0.059,0.096,0.104,0.111,0.111,0.07,0.043,0.025,0.024,0.02,0.021,0.02,0.019,0.027,0.028,0.031,0.019,0.019,0.018,0.02,0.015,0.008,0.005,0.002,0.006,0.005,0.003,0.005","0.005,0.022,0.032,0.061,0.07,0.091,0.106,0.088,0.093,0.067,0.057,0.038,0.033,0.035,0.032,0.024,0.029,0.022,0.012,0.022,0.013,0.011,0.009,0.009,0.005,0.002,0.003,0.006,0.002,0.001","0.006,0.019,0.052,0.081,0.105,0.111,0.091,0.101,0.094,0.076,0.052,0.06,0.034,0.029,0.018,0.019,0.013,0.011,0.007,0.005,0.006,0.003,0.0,0.002,0.002,0.001,0.0,0.0,0.001,0.001"
m1340_normalized.obj,AircraftBuoyant,1.24793,0.74965,0.21282,1.55095,0.54632,21.19347,"0.063,0.113,0.056,0.046,0.044,0.028,0.032,0.032,0.027,0.055,0.057,0.048,0.052,0.043,0.047,0.043,0.029,0.03,0.03,0.02,0.022,0.019,0.006,0.01,0.012,0.009,0.012,0.007,0.004,0.004","0.095,0.142,0.138,0.148,0.117,0.027,0.008,0.002,0.005,0.002,0.007,0.032,0.01,0.003,0.003,0.015,0.015,0.021,0.02,0.013,0.017,0.011,0.024,0.013,0.025,0.013,0.028,0.015,0.013,0.018","0.051,0.095,0.115,0.195,0.039,0.028,0.006,0.011,0.008,0.015,0.008,0.006,0.007,0.013,0.008,0.012,0.011,0.029,0.036,0.032,0.04,0.055,0.053,0.051,0.047,0.014,0.007,0.001,0.004,0.003","0.008,0.029,0.046,0.066,0.07,0.083,0.061,0.03,0.032,0.015,0.03,0.03,0.043,0.049,0.049,0.058,0.068,0.056,0.042,0.016,0.014,0.012,0.01,0.013,0.016,0.011,0.017,0.015,0.006,0.005","0.014,0.036,0.041,0.077,0.063,0.086,0.058,0.043,0.05,0.047,0.055,0.038,0.06,0.063,0.052,0.054,0.035,0.018,0.02,0.02,0.013,0.014,0.011,0.01,0.009,0.004,0.003,0.004,0.0,0.002"
m1341_normalized.obj,AircraftBuoyant,2.2129,0.71748,0.27072,1.83215,0.65136,24.44823,"0.082,0.108,0.08,0.068,0.047,0.052,0.041,0.034,0.025,0.037,0.031,0.025,0.022,0.023,0.038,0.039,0.02,0.014,0.022,0.017,0.018,0.017,0.021,0.018,0.026,0.024,0.014,0.011,0.016,0.01","0.007,0.004,0.078,0.01,0.026,0.009,0.011,0.016,0.023,0.021,0.036,0.059,0.013,0.015,0.033,0.055,0.058,0.053,0.062,0.041,0.057,0.064,0.04,0.061,0.024,0.014,0.009,0.023,0.016,0.062","0.023,0.04,0.074,0.085,0.058,0.038,0.036,0.03,0.036,0.039,0.045,0.049,0.041,0.04,0.044,0.048,0.033,0.033,0.03,0.031,0.013,0.013,0.022,0.015,0.022,0.021,0.017,0.007,0.008,0.009","0.01,0.015,0.028,0.035,0.039,0.038,0.048,0.054,0.044,0.074,0.075,0.07,0.059,0.055,0.07,0.05,0.04,0.041,0.036,0.028,0.015,0.011,0.01,0.012,0.01,0.01,0.007,0.01,0.003,0.003","0.005,0.007,0.019,0.021,0.034,0.04,0.054,0.069,0.064,0.059,0.061,0.076,0.072,0.057,0.061,0.051,0.053,0.052,0.027,0.027,0.025,0.015,0.013,0.011,0.011,0.005,0.004,0.004,0.002,0.001"
m1342_normalized.obj,AircraftBuoyant,3.48458,0.7719,0.384,1.48005,0.90319,5.9291,"0.084,0.064,0.053,0.053,0.057,0.048,0.049,0.043,0.06,0.048,0.041,0.038,0.046,0.045,0.037,0.038,0.027,0.021,0.023,0.021,0.029,0.022,0.014,0.012,0.006,0.007,0.007,0.002,0.003,0.002","0.036,0.056,0.028,0.034,0.03,0.026,0.018,0.051,0.301,0.099,0.02,0.01,0.021,0.013,0.028,0.02,0.017,0.012,0.02,0.019,0.023,0.016,0.012,0.005,0.011,0.019,0.023,0.008,0.007,0.017","0.075,0.06,0.054,0.024,0.028,0.038,0.03,0.035,0.035,0.029,0.032,0.028,0.03,0.03,0.038,0.053,0.037,0.041,0.038,0.044,0.033,0.041,0.02,0.029,0.016,0.017,0.016,0.014,0.017,0.018","0.027,0.048,0.034,0.049,0.053,0.044,0.058,0.059,0.054,0.047,0.046,0.041,0.039,0.032,0.038,0.035,0.03,0.034,0.034,0.023,0.031,0.021,0.017,0.027,0.018,0.016,0.011,0.018,0.007,0.009","0.026,0.044,0.042,0.082,0.076,0.061,0.07,0.056,0.047,0.042,0.051,0.047,0.045,0.045,0.029,0.039,0.036,0.022,0.032,0.024,0.013,0.012,0.011,0.012,0.011,0.009,0.007,0.004,0.002,0.003"
m1343_normalized.obj,AircraftBuoyant,8.08165,0.59179,0.45913,1.77111,1.03757,1.82662,"0.018,0.025,0.046,0.043,0.046,0.054,0.075,0.065,0.052,0.062,0.069,0.051,0.048,0.064,0.047,0.052,0.031,0.03,0.022,0.02,0.025,0.018,0.01,0.009,0.004,0.005,0.003,0.003,0.002,0.001","0.002,0.0,0.001,0.002,0.003,0.002,0.003,0.005,0.001,0.001,0.01,0.01,0.097,0.098,0.114,0.083,0.097,0.064,0.05,0.074,0.062,0.069,0.089,0.003,0.008,0.013,0.005,0.012,0.005,0.017","0.009,0.013,0.018,0.016,0.024,0.024,0.028,0.033,0.037,0.046,0.053,0.053,0.048,0.065,0.071,0.071,0.068,0.056,0.08,0.064,0.053,0.017,0.009,0.009,0.006,0.006,0.01,0.004,0.006,0.003","0.003,0.011,0.008,0.023,0.019,0.027,0.028,0.03,0.041,0.029,0.059,0.056,0.059,0.055,0.064,0.064,0.056,0.066,0.058,0.059,0.04,0.05,0.043,0.027,0.006,0.007,0.002,0.006,0.002,0.002","0.007,0.009,0.006,0.015,0.02,0.019,0.032,0.028,0.062,0.055,0.045,0.061,0.049,0.057,0.055,0.059,0.074,0.055,0.052,0.039,0.039,0.041,0.024,0.033,0.019,0.013,0.013,0.009,0.007,0.003"
m1344_normalized.obj,AircraftBuoyant,4.92362,0.93233,0.35572,1.78863,0.91536,3.96869,"0.06,0.032,0.034,0.049,0.052,0.055,0.055,0.059,0.066,0.067,0.062,0.055,0.056,0.052,0.033,0.038,0.028,0.023,0.022,0.02,0.013,0.015,0.018,0.009,0.005,0.004,0.008,0.007,0.002,0.001","0.022,0.014,0.0,0.0,0.015,0.022,0.03,0.042,0.026,0.035,0.017,0.041,0.028,0.031,0.032,0.048,0.041,0.054,0.097,0.126,0.128,0.004,0.009,0.009,0.036,0.023,0.002,0.005,0.006,0.057","0.016,0.036,0.029,0.021,0.015,0.018,0.016,0.027,0.031,0.035,0.028,0.033,0.031,0.033,0.034,0.044,0.034,0.046,0.07,0.075,0.032,0.031,0.032,0.043,0.034,0.04,0.058,0.025,0.023,0.01","0.003,0.013,0.017,0.021,0.035,0.023,0.04,0.042,0.046,0.036,0.035,0.024,0.035,0.036,0.043,0.049,0.033,0.038,0.056,0.05,0.055,0.036,0.033,0.041,0.045,0.044,0.035,0.02,0.009,0.007","0.013,0.015,0.021,0.026,0.039,0.053,0.04,0.047,0.054,0.055,0.049,0.051,0.053,0.037,0.04,0.049,0.039,0.029,0.033,0.033,0.042,0.029,0.023,0.029,0.024,0.028,0.018,0.013,0.012,0.006"
m1345_normalized.obj,AircraftBuoyant,8.69263,0.00214,0.00203,1.90693,0.00568,6.41923,"0.069,0.061,0.047,0.059,0.057,0.061,0.055,0.051,0.033,0.038,0.04,0.049,0.044,0.057,0.037,0.039,0.028,0.024,0.029,0.015,0.02,0.018,0.01,0.012,0.012,0.013,0.005,0.006,0.007,0.004","0.027,0.042,0.031,0.013,0.009,0.028,0.025,0.024,0.02,0.01,0.01,0.043,0.013,0.019,0.025,0.017,0.016,0.024,0.032,0.015,0.021,0.016,0.03,0.033,0.077,0.092,0.109,0.046,0.029,0.104","0.015,0.04,0.029,0.017,0.017,0.025,0.027,0.037,0.035,0.034,0.043,0.052,0.048,0.047,0.036,0.047,0.067,0.045,0.031,0.025,0.021,0.016,0.026,0.022,0.024,0.022,0.029,0.044,0.042,0.037","0.005,0.018,0.011,0.016,0.026,0.026,0.034,0.038,0.055,0.065,0.054,0.054,0.055,0.059,0.065,0.052,0.047,0.054,0.042,0.038,0.028,0.019,0.022,0.024,0.034,0.011,0.017,0.01,0.013,0.008","0.012,0.013,0.025,0.027,0.039,0.051,0.044,0.046,0.056,0.067,0.066,0.051,0.055,0.055,0.048,0.054,0.052,0.032,0.031,0.033,0.031,0.029,0.023,0.008,0.015,0.016,0.01,0.005,0.003,0.003"
m1346_normalized.obj,AircraftBuoyant,2.50744,0.61418,0.31,1.90909,0.72312,15.13754,"0.032,0.074,0.07,0.071,0.071,0.072,0.067,0.046,0.038,0.036,0.032,0.024,0.025,0.015,0.025,0.023,0.024,0.023,0.019,0.026,0.022,0.023,0.022,0.022,0.023,0.026,0.016,0.015,0.008,0.01","0.079,0.057,0.063,0.07,0.062,0.034,0.03,0.05,0.033,0.019,0.026,0.031,0.033,0.025,0.013,0.023,0.025,0.04,0.023,0.02,0.021,0.038,0.026,0.027,0.046,0.016,0.019,0.006,0.024,0.021","0.014,0.021,0.027,0.042,0.049,0.059,0.072,0.08,0.071,0.075,0.059,0.044,0.052,0.046,0.028,0.042,0.032,0.028,0.019,0.024,0.025,0.018,0.012,0.014,0.012,0.01,0.011,0.004,0.006,0.004","0.003,0.004,0.005,0.016,0.017,0.013,0.025,0.036,0.035,0.043,0.061,0.045,0.062,0.065,0.058,0.062,0.057,0.055,0.061,0.047,0.059,0.045,0.035,0.034,0.019,0.017,0.01,0.007,0.003,0.001","0.001,0.006,0.003,0.013,0.015,0.026,0.023,0.031,0.043,0.05,0.05,0.058,0.063,0.047,0.06,0.057,0.052,0.051,0.072,0.058,0.056,0.045,0.037,0.031,0.014,0.018,0.012,0.005,0.002,0.001"
